Algoritmo,NSEGRATE,WINDIFF,PK,ACURACY,PRECISION,RECALL,F1,AVR_SEGS_COUNT
BayesSeg Pr:0.08 dp:0.50 sr:0.350,0.350,0.411792,0.377874,0.640892,0.675618,0.483156,0.541973,10.750000
BayesSeg Pr:0.08 dp:0.50 sr:0.400,0.400,0.411838,0.377920,0.640819,0.658911,0.534521,0.565359,12.083333
BayesSeg Pr:0.08 dp:0.50 sr:0.450,0.450,0.404184,0.365058,0.649270,0.643888,0.602417,0.598872,13.833333
BayesSeg Pr:0.08 dp:0.50 sr:0.500,0.500,0.423402,0.372674,0.643466,0.617631,0.645602,0.610307,15.500000
BayesSeg Pr:0.08 dp:0.50 sr:0.550,0.550,0.435943,0.380007,0.636428,0.607483,0.682446,0.618159,16.750000
BayesSeg Pr:0.08 dp:0.50 sr:0.600,0.600,0.480002,0.416232,0.598219,0.559204,0.702288,0.601173,18.416667
BayesSeg Pr:0.08 dp:0.50 sr:0.650,0.650,0.491762,0.419014,0.595788,0.555686,0.744622,0.613926,19.833333
BayesSeg Pr:0.08 dp:0.50 sr:0.700,0.700,0.515959,0.431906,0.579438,0.536881,0.776203,0.614614,21.416667
BayesSeg Pr:0.08 dp:0.50 sr:0.750,0.750,0.541715,0.444620,0.563599,0.524016,0.808015,0.615488,23.000000
BayesSeg Pr:0.08 dp:0.50 sr:0.800,0.800,0.547990,0.443061,0.564239,0.521758,0.850809,0.627759,24.416667
BayesSeg Pr:0.08 dp:0.50 sr:0.850,0.850,0.585739,0.467769,0.536814,0.507763,0.871913,0.620494,25.916667
BayesSeg Pr:0.08 dp:0.50 sr:0.900,0.900,0.644646,0.517402,0.489886,0.477610,0.877865,0.600449,27.500000
BayesSeg Pr:0.08 dp:0.50 sr:0.950,0.950,0.653643,0.513653,0.487955,0.478718,0.927937,0.612922,29.000000
