Algoritmo,NUM_SEGS_KNOWN,NSEGRATE,PRIOR,DISPERSION,WINDIFF,WINDIFF',PK,PK',ACURACY,ACURACY',F1,F1',AVR_SEGS_COUNT,AVR_SEGS_COUNT'
BayesSeg Pr:0.09 dp:0.70 sr:0.600,true,0.600,0.0900,0.7000,0.473336,0.136531,0.409565,0.057455,0.604629,0.053994,0.606920,0.082641,18.416667,7.793783
BayesSeg Pr:0.10 dp:0.70 sr:0.600,true,0.600,0.1000,0.7000,0.467275,0.138825,0.403505,0.056213,0.610581,0.051936,0.613209,0.079219,18.416667,7.793783
BayesSeg Pr:0.11 dp:0.70 sr:0.600,true,0.600,0.1100,0.7000,0.462373,0.140686,0.398603,0.055271,0.615343,0.050733,0.618586,0.074497,18.416667,7.793783
BayesSeg Pr:0.08 dp:0.10 sr:0.900,true,0.900,0.0800,0.1000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.09 dp:0.10 sr:0.900,true,0.900,0.0900,0.1000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.10 dp:0.10 sr:0.900,true,0.900,0.1000,0.1000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.11 dp:0.10 sr:0.900,true,0.900,0.1100,0.1000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.08 dp:0.30 sr:0.900,true,0.900,0.0800,0.3000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.09 dp:0.30 sr:0.900,true,0.900,0.0900,0.3000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.10 dp:0.30 sr:0.900,true,0.900,0.1000,0.3000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.11 dp:0.30 sr:0.900,true,0.900,0.1100,0.3000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.08 dp:0.50 sr:0.900,true,0.900,0.0800,0.5000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.09 dp:0.50 sr:0.900,true,0.900,0.0900,0.5000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.10 dp:0.50 sr:0.900,true,0.900,0.1000,0.5000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.11 dp:0.50 sr:0.900,true,0.900,0.1100,0.5000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.08 dp:0.70 sr:0.900,true,0.900,0.0800,0.7000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.09 dp:0.70 sr:0.900,true,0.900,0.0900,0.7000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.10 dp:0.70 sr:0.900,true,0.900,0.1000,0.7000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
BayesSeg Pr:0.11 dp:0.70 sr:0.900,true,0.900,0.1100,0.7000,0.637980,0.357467,0.510736,0.138791,0.496296,0.149191,0.605079,0.152941,27.500000,11.601006
